policy,provider,model,classification,reason
weak_weak_policy_generated_001,openai,gpt-4o-mini,Weak,"The policy grants full access to all S3 actions and resources without any conditions, indicating over-permissive access."
weak_weak_policy_generated_001,ollama,llama3.2:latest,Weak,"The policy grants unrestricted access to all S3 resources without any contextual restrictions, increasing the risk of a potential blast radius in case of credential compromise."
weak_weak_policy_generated_002,openai,gpt-4o-mini,Weak,"The policy grants unrestricted access to all EC2 actions and resources without any conditions, indicating over-permissive access."
weak_weak_policy_generated_002,ollama,llama3.2:latest,Weak,"The policy grants unrestricted access to all EC2 resources without any contextual restrictions, increasing the risk of a blast radius in case of credential compromise."
weak_weak_policy_generated_003,openai,gpt-4o-mini,Weak,"The policy grants unrestricted access to all Lambda actions and resources without any conditions, indicating over-permissive access."
weak_weak_policy_generated_003,ollama,llama3.2:latest,Weak,"The policy grants unrestricted access to all Lambda actions and resources, increasing the risk of blast radius in case of credential compromise."
weak_weak_policy_generated_004,openai,gpt-4o-mini,Weak,"The policy grants full access to all DynamoDB actions and resources without any conditions, indicating over-permissive access."
weak_weak_policy_generated_004,ollama,llama3.2:latest,Weak,"The policy grants unrestricted access to DynamoDB resources with no conditions or context, increasing the risk of blast radius in case of credential compromise."
weak_weak_policy_generated_005,openai,gpt-4o-mini,Weak,"The policy grants full access to all RDS actions on all resources without any conditions, indicating over-permissive access."
weak_weak_policy_generated_005,ollama,llama3.2:latest,Weak,"The policy grants unrestricted access to all RDS resources without any contextual restrictions, increasing the risk of a potential blast radius in case of credential compromise."
strong_strong_policy_generated_001,openai,gpt-4o-mini,Weak,"The policy allows a destructive action (TerminateInstances) on all EC2 instances without sufficient restriction on the resource scope, despite having a condition for MFA."
strong_strong_policy_generated_001,ollama,llama3.2:latest,Strong,"The policy grants minimal permissions for terminating instances with MFA, reducing the blast radius in case of credential compromise."
strong_strong_policy_generated_002,openai,gpt-4o-mini,Strong,The policy allows a destructive action but is protected by a strong contextual condition requiring MFA.
strong_strong_policy_generated_002,ollama,llama3.2:latest,Strong,"The policy grants minimal permissions and includes a conditional statement that requires MFA, reducing the risk of blast radius in case of credential compromise."
strong_strong_policy_generated_003,openai,gpt-4o-mini,Strong,"The policy grants a specific permission with a strong contextual condition requiring MFA, minimizing risk."
strong_strong_policy_generated_003,ollama,llama3.2:latest,Strong,"The policy grants minimal permissions and includes a conditional statement that requires MFA, reducing the risk of blast radius in case of credential compromise."
strong_strong_policy_generated_004,openai,gpt-4o-mini,Strong,"The policy grants a specific action on a specific resource and includes a condition requiring MFA, which mitigates risk."
strong_strong_policy_generated_004,ollama,llama3.2:latest,Strong,The policy grants minimal permissions required for its intended purpose and includes a contextual restriction to ensure MFA is always enforced.
strong_strong_policy_generated_005,openai,gpt-4o-mini,Weak,"The policy allows deletion of alarms on all resources with a wildcard, which increases risk despite the MFA condition."
strong_strong_policy_generated_005,ollama,llama3.2:latest,Weak,"The policy grants unrestricted access to delete alarms without any specific resource restrictions, increasing the blast radius in case of credential compromise."
